Identificación del encuestado,Fecha de inicio,Fecha de fin,¿Conoce los nutrientes escenciales para que el cuerpo tenga un funcionamiento adecuado?,¿Cuál de los siguientes nutrientes concidera que consume más?,Considero que mi alimentación ___________ satisface mi actividad física diaria.,Considero que mi alimentación ___________ cubre los nutrientes escenciales,Entre semana ¿cuántas veces al dia come platillos preparados en casa?,Los fines de semana ¿cuántas veces al dia come platillos preparados en casa?,Huevo o lácteos,Café o té descafeinados,Café o té con cafeina,Refrescos o bebidas endulzadas,Refrescos bajos en calorias,Carne de res,Carne de pollo,Carne de cerdo,Pescados o mariscos,Nueces y semillas,Frutas,Verduras,Legumbres,Cereales o pastas,Dulces,Salchichas o carnes frias,Pan dulce,Suplementos alimenticios,Considera que llevar una alimentación saludable es:
4140495378,08/14/2015 22:10:04,08/14/2015 22:12:17,"Sí, la mayoria",Carbohidratos,Generalmente,Generalmente,1 vez al dia,2 veces al dia,Regulamente consumo,Nada,Regulamente consumo,Raras veces,Nada,Muy poco,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Muy poco,Regulamente consumo,Nada,"Barata, pero consume mucho tiempo prepararla"
4140494701,08/14/2015 22:09:32,08/14/2015 22:13:04,"Sí, todos",Hidratos de carbono (azucares),Pocas veces,Pocas veces,1 vez al dia,3 veces al dia,Regulamente consumo,Raras veces,Regulamente consumo,Nada,Nada,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Nada,Muy poco,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Lo que más consumo,Regulamente consumo,Raras veces,Cara y consume mucho tiempo prepararla
4140489032,08/14/2015 22:03:21,08/14/2015 22:08:22,"Sí, la mayoria",Vitaminas,Generalmente,Generalmente,Más de 3 veces al dia,3 veces al dia,Raras veces,Muy poco,Nada,Raras veces,Nada,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Raras veces,Muy poco,Raras veces,Raras veces,"Cara, pero no consume mucho tiempo prepararla"
4140488997,08/14/2015 22:04:45,08/14/2015 22:07:33,"Sí, la mayoria",Carbohidratos,Ocasionalmente,Generalmente,2 veces al dia,1 vez al dia,Regulamente consumo,Nada,Nada,Muy poco,Nada,Regulamente consumo,Regulamente consumo,Nada,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Raras veces,Raras veces,Muy poco,Nada,"Barata, pero consume mucho tiempo prepararla"
4140488267,08/14/2015 22:04:04,08/14/2015 22:06:22,"Sí, la mayoria",Carbohidratos,Generalmente,Generalmente,3 veces al dia,1 vez al dia,Muy poco,Lo que más consumo,Lo que más consumo,Regulamente consumo,Nada,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Muy poco,Muy poco,Regulamente consumo,Muy poco,Regulamente consumo,Muy poco,Nada,"Barata, pero consume mucho tiempo prepararla"
4140486064,08/14/2015 22:02:04,08/14/2015 22:04:24,"Sí, algunos",Hidratos de carbono (azucares),Generalmente,Ocasionalmente,2 veces al dia,Más de 3 veces al dia,Regulamente consumo,Nada,Regulamente consumo,Nada,Nada,Regulamente consumo,Regulamente consumo,Raras veces,Regulamente consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Muy poco,Nada,Raras veces,Muy poco,Nada,"Cara, pero no consume mucho tiempo prepararla"
4138824313,08/14/2015 02:16:16,08/14/2015 02:19:44,"Sí, todos",Hidratos de carbono (azucares),Generalmente,Generalmente,Más de 3 veces al dia,2 veces al dia,Regulamente consumo,Nada,Regulamente consumo,Nada,Raras veces,Regulamente consumo,Regulamente consumo,Nada,Lo que más consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Nada,Regulamente consumo,Nada,Regulamente consumo,Cara y consume mucho tiempo prepararla
4138480127,08/13/2015 22:07:35,08/13/2015 22:10:10,"Sí, la mayoria",Hidratos de carbono (azucares),Pocas veces,Ocasionalmente,2 veces al dia,1 vez al dia,Regulamente consumo,Raras veces,Nada,Muy poco,Raras veces,Muy poco,Regulamente consumo,Raras veces,Nada,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Muy poco,Muy poco,Nada,Cara y consume mucho tiempo prepararla
4134321160,08/11/2015 22:34:16,08/11/2015 22:38:47,"Sí, todos",Proteinas,Generalmente,Generalmente,3 veces al dia,2 veces al dia,Regulamente consumo,Raras veces,Regulamente consumo,Raras veces,Raras veces,Muy poco,Regulamente consumo,Nada,Muy poco,Regulamente consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Lo que más consumo,Raras veces,Raras veces,Raras veces,Nada,Barata y es fácil de prerarar
4132830595,08/11/2015 10:35:05,08/11/2015 10:38:31,"Sí, la mayoria",Proteinas,Ocasionalmente,Generalmente,2 veces al dia,3 veces al dia,Muy poco,Nada,Regulamente consumo,Raras veces,Nada,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Raras veces,Nada,Cara y consume mucho tiempo prepararla
4131533097,08/10/2015 18:17:15,08/10/2015 18:38:20,"Sí, la mayoria",Proteinas,Generalmente,Generalmente,2 veces al dia,2 veces al dia,Raras veces,Nada,Lo que más consumo,Raras veces,Raras veces,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Raras veces,Muy poco,Muy poco,Muy poco,Cara y consume mucho tiempo prepararla
4131362448,08/10/2015 16:59:30,08/10/2015 17:01:30,"Sí, todos",Proteinas,Generalmente,Generalmente,3 veces al dia,2 veces al dia,Lo que más consumo,Raras veces,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Raras veces,Muy poco,Muy poco,Nada,"Barata, pero consume mucho tiempo prepararla"
4131208451,08/10/2015 15:29:50,08/10/2015 15:32:45,"Sí, todos",Hidratos de carbono (azucares),Generalmente,Generalmente,1 vez al dia,2 veces al dia,Regulamente consumo,Nada,Raras veces,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Raras veces,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Nada,"Cara, pero no consume mucho tiempo prepararla"
4131086540,08/10/2015 14:32:00,08/10/2015 14:35:44,"Sí, algunos",Carbohidratos,Generalmente,Generalmente,1 vez al dia,1 vez al dia,Lo que más consumo,Nada,Nada,Nada,Nada,Regulamente consumo,Regulamente consumo,Raras veces,Raras veces,Muy poco,Lo que más consumo,Regulamente consumo,Muy poco,Regulamente consumo,Raras veces,Raras veces,Muy poco,Regulamente consumo,Cara y consume mucho tiempo prepararla
4131080590,08/10/2015 14:29:20,08/10/2015 20:06:40,"Sí, todos",Proteinas,Generalmente,Generalmente,Más de 3 veces al dia,2 veces al dia,Regulamente consumo,Nada,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Muy poco,Muy poco,Regulamente consumo,Muy poco,Raras veces,Barata y es fácil de prerarar
4130963007,08/10/2015 13:40:02,08/10/2015 13:43:57,"Sí, todos",Proteinas,Generalmente,Generalmente,3 veces al dia,2 veces al dia,Regulamente consumo,Nada,Regulamente consumo,Nada,Nada,Regulamente consumo,Lo que más consumo,Muy poco,Muy poco,Regulamente consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Lo que más consumo,Nada,"Barata, pero consume mucho tiempo prepararla"
4130928698,08/10/2015 13:24:48,08/10/2015 13:29:05,Ninguno,Carbohidratos,Generalmente,Ocasionalmente,1 vez al dia,2 veces al dia,Lo que más consumo,Nada,Lo que más consumo,Regulamente consumo,Nada,Lo que más consumo,Lo que más consumo,Nada,Muy poco,Muy poco,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Muy poco,Regulamente consumo,Lo que más consumo,Nada,Cara y consume mucho tiempo prepararla
4128946987,08/08/2015 13:38:20,08/08/2015 13:42:56,"Sí, la mayoria",Vitaminas,Generalmente,Generalmente,3 veces al dia,2 veces al dia,Regulamente consumo,Raras veces,Raras veces,Regulamente consumo,Muy poco,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Muy poco,Raras veces,"Barata, pero consume mucho tiempo prepararla"
4128441678,08/08/2015 00:59:47,08/08/2015 01:02:41,"Sí, todos",Carbohidratos,Generalmente,Generalmente,3 veces al dia,2 veces al dia,Regulamente consumo,Nada,Lo que más consumo,Nada,Raras veces,Muy poco,Lo que más consumo,Nada,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Muy poco,Lo que más consumo,Muy poco,Nada,Regulamente consumo,Raras veces,"Cara, pero no consume mucho tiempo prepararla"
4128314299,08/07/2015 22:54:53,08/07/2015 22:58:14,"Sí, la mayoria",Carbohidratos,Generalmente,Ocasionalmente,1 vez al dia,1 vez al dia,Lo que más consumo,Lo que más consumo,Lo que más consumo,Raras veces,Raras veces,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Muy poco,Lo que más consumo,Muy poco,Regulamente consumo,Regulamente consumo,Nada,"Barata, pero consume mucho tiempo prepararla"
4127930828,08/07/2015 18:45:25,08/07/2015 18:48:03,"Sí, algunos",Minerales,Ocasionalmente,Generalmente,3 veces al dia,1 vez al dia,Regulamente consumo,Raras veces,Regulamente consumo,Nada,Raras veces,Muy poco,Regulamente consumo,Raras veces,Raras veces,Muy poco,Regulamente consumo,Regulamente consumo,Raras veces,Muy poco,Regulamente consumo,Muy poco,Raras veces,Nada,"Barata, pero consume mucho tiempo prepararla"
4127928183,08/07/2015 18:18:07,08/07/2015 18:44:57,"Sí, la mayoria",Hidratos de carbono (azucares),Generalmente,Ocasionalmente,1 vez al dia,1 vez al dia,,,,,,,,,,,,,,,,,,,
4127913682,08/07/2015 18:36:03,08/07/2015 18:39:41,"Sí, todos",Proteinas,Generalmente,Ocasionalmente,1 vez al dia,3 veces al dia,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Lo que más consumo,Raras veces,Nada,Nada,Muy poco,Muy poco,Nada,Muy poco,Muy poco,Regulamente consumo,Nada,Raras veces,Cara y consume mucho tiempo prepararla
4127822524,08/07/2015 17:47:28,08/07/2015 17:50:29,"Sí, algunos",Carbohidratos,Generalmente,Generalmente,Más de 3 veces al dia,2 veces al dia,Muy poco,Muy poco,Raras veces,Raras veces,Nada,Raras veces,Raras veces,Raras veces,Raras veces,Muy poco,Regulamente consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Raras veces,Regulamente consumo,Nada,"Barata, pero consume mucho tiempo prepararla"
4127793061,08/07/2015 17:31:47,08/07/2015 17:32:46,"Sí, la mayoria",Proteinas,,,,,,,,,,,,,,,,,,,,,,,
4127671036,08/07/2015 15:38:25,08/07/2015 16:36:39,"Sí, la mayoria",Proteinas,Generalmente,Generalmente,3 veces al dia,3 veces al dia,Lo que más consumo,Lo que más consumo,Raras veces,Raras veces,Nada,Muy poco,Regulamente consumo,Regulamente consumo,Muy poco,Nada,Lo que más consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Raras veces,Raras veces,Raras veces,Nada,Cara y consume mucho tiempo prepararla
4127657832,08/07/2015 16:24:23,08/07/2015 16:27:09,"Sí, la mayoria",Carbohidratos,Generalmente,Generalmente,Más de 3 veces al dia,2 veces al dia,Lo que más consumo,Nada,Lo que más consumo,Raras veces,Muy poco,Muy poco,Lo que más consumo,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Raras veces,Nada,Nada,Nada,"Cara, pero no consume mucho tiempo prepararla"
4127519284,08/07/2015 15:25:17,08/07/2015 15:31:49,"Sí, la mayoria",Carbohidratos,Generalmente,Generalmente,2 veces al dia,2 veces al dia,Regulamente consumo,Raras veces,Raras veces,Raras veces,Nada,Lo que más consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Raras veces,Nada,Muy poco,Raras veces,Regulamente consumo,Barata y es fácil de prerarar
4127464490,08/07/2015 15:08:08,08/07/2015 15:12:17,"Sí, la mayoria",Hidratos de carbono (azucares),Generalmente,Ocasionalmente,2 veces al dia,2 veces al dia,Regulamente consumo,Nada,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Lo que más consumo,Muy poco,Raras veces,Muy poco,Muy poco,Muy poco,Muy poco,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Muy poco,No lo he considerado
4127295121,08/07/2015 13:48:12,08/07/2015 13:52:45,"Sí, la mayoria",Fibra,Generalmente,Generalmente,Más de 3 veces al dia,Más de 3 veces al dia,Muy poco,Raras veces,Raras veces,Raras veces,Nada,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Raras veces,Muy poco,Raras veces,Muy poco,No lo he considerado
4127268434,08/07/2015 13:31:17,08/07/2015 13:37:11,"Sí, algunos",Hidratos de carbono (azucares),Ocasionalmente,Pocas veces,1 vez al dia,2 veces al dia,Muy poco,Nada,Raras veces,Muy poco,Raras veces,Regulamente consumo,Regulamente consumo,Regulamente consumo,Raras veces,Muy poco,Muy poco,Muy poco,Muy poco,Regulamente consumo,Muy poco,Raras veces,Regulamente consumo,Nada,"Barata, pero consume mucho tiempo prepararla"
4127191289,08/07/2015 12:50:39,08/07/2015 12:53:55,"Sí, la mayoria",Carbohidratos,Ocasionalmente,Ocasionalmente,1 vez al dia,1 vez al dia,Lo que más consumo,Nada,Lo que más consumo,Raras veces,Nada,Muy poco,Regulamente consumo,Muy poco,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Nada,Cara y consume mucho tiempo prepararla
4127022219,08/07/2015 10:34:35,08/07/2015 10:39:06,"Sí, la mayoria",Carbohidratos,Ocasionalmente,Generalmente,2 veces al dia,2 veces al dia,Lo que más consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Muy poco,Regulamente consumo,Raras veces,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Nada,Regulamente consumo,Muy poco,Nada,"Barata, pero consume mucho tiempo prepararla"
4126689990,08/07/2015 04:05:08,08/07/2015 04:09:37,"Sí, la mayoria",Carbohidratos,Ocasionalmente,Ocasionalmente,2 veces al dia,Más de 3 veces al dia,Regulamente consumo,Nada,Nada,Nada,Nada,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Nada,Nada,Muy poco,Regulamente consumo,Cara y consume mucho tiempo prepararla
4126635082,08/07/2015 03:13:25,08/07/2015 03:17:30,"Sí, todos",Carbohidratos,Generalmente,Ocasionalmente,3 veces al dia,2 veces al dia,Muy poco,Regulamente consumo,Regulamente consumo,Raras veces,Nada,Regulamente consumo,Regulamente consumo,Raras veces,Raras veces,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Raras veces,Muy poco,Nada,Regulamente consumo,Nada,"Barata, pero consume mucho tiempo prepararla"
4126621374,08/07/2015 03:02:24,08/07/2015 03:05:16,"Sí, algunos",Carbohidratos,Ocasionalmente,Pocas veces,2 veces al dia,1 vez al dia,Muy poco,Muy poco,Regulamente consumo,Muy poco,Raras veces,Muy poco,Lo que más consumo,Raras veces,Regulamente consumo,Muy poco,Lo que más consumo,Lo que más consumo,Muy poco,Muy poco,Regulamente consumo,Muy poco,Regulamente consumo,Nada,"Cara, pero no consume mucho tiempo prepararla"
4126601385,08/07/2015 02:41:43,08/07/2015 02:44:29,"Sí, la mayoria",Minerales,Ocasionalmente,Ocasionalmente,3 veces al dia,3 veces al dia,Lo que más consumo,Nada,Nada,Raras veces,Nada,Muy poco,Regulamente consumo,Raras veces,Raras veces,Raras veces,Muy poco,Lo que más consumo,Lo que más consumo,Lo que más consumo,Raras veces,Muy poco,Raras veces,Nada,No lo he considerado
4126533399,08/07/2015 01:26:53,08/07/2015 01:49:45,"Sí, algunos",Proteinas,Generalmente,Ocasionalmente,1 vez al dia,Más de 3 veces al dia,Regulamente consumo,Raras veces,Raras veces,Lo que más consumo,Raras veces,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Raras veces,Muy poco,Muy poco,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,"Cara, pero no consume mucho tiempo prepararla"
4126510232,08/07/2015 01:21:54,08/07/2015 01:25:15,"Sí, todos",Carbohidratos,Generalmente,Generalmente,3 veces al dia,2 veces al dia,Regulamente consumo,Raras veces,Regulamente consumo,Raras veces,Nada,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Raras veces,Muy poco,Regulamente consumo,Nada,Cara y consume mucho tiempo prepararla
4126463074,08/07/2015 00:43:16,08/07/2015 00:46:33,"Sí, algunos",Carbohidratos,Ocasionalmente,Generalmente,1 vez al dia,2 veces al dia,Regulamente consumo,Nada,Lo que más consumo,Regulamente consumo,Nada,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Lo que más consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Nada,"Barata, pero consume mucho tiempo prepararla"
4126438560,08/07/2015 00:24:00,08/07/2015 00:28:22,"Sí, todos",Carbohidratos,Pocas veces,Pocas veces,1 vez al dia,1 vez al dia,Raras veces,Regulamente consumo,Raras veces,Raras veces,Nada,Nada,Muy poco,Nada,Nada,Raras veces,Regulamente consumo,Muy poco,Muy poco,Muy poco,Nada,Regulamente consumo,Raras veces,Nada,"Barata, pero consume mucho tiempo prepararla"
4126380398,08/06/2015 23:40:24,08/06/2015 23:45:05,"Sí, la mayoria",Proteinas,Pocas veces,Pocas veces,1 vez al dia,2 veces al dia,Regulamente consumo,Muy poco,Muy poco,Muy poco,Raras veces,Regulamente consumo,Lo que más consumo,Muy poco,Regulamente consumo,Muy poco,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Raras veces,Muy poco,Muy poco,Raras veces,"Cara, pero no consume mucho tiempo prepararla"
4126343854,08/06/2015 23:14:12,08/06/2015 23:17:27,"Sí, todos",Proteinas,Generalmente,Generalmente,3 veces al dia,2 veces al dia,Muy poco,Nada,Regulamente consumo,Nada,Nada,Regulamente consumo,Lo que más consumo,Raras veces,Regulamente consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Muy poco,Lo que más consumo,Nada,Raras veces,Muy poco,Nada,Barata y es fácil de prerarar
4126286775,08/06/2015 22:34:30,08/06/2015 22:36:21,"Sí, la mayoria",Carbohidratos,Generalmente,Ocasionalmente,Más de 3 veces al dia,1 vez al dia,Regulamente consumo,Muy poco,Muy poco,Raras veces,Nada,Lo que más consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Raras veces,"Barata, pero consume mucho tiempo prepararla"
4126283185,08/06/2015 22:32:09,08/06/2015 22:34:14,"Sí, todos",Carbohidratos,Generalmente,Generalmente,1 vez al dia,2 veces al dia,Muy poco,Regulamente consumo,Regulamente consumo,Raras veces,Raras veces,Regulamente consumo,Lo que más consumo,Muy poco,Lo que más consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Raras veces,Muy poco,Raras veces,Nada,"Barata, pero consume mucho tiempo prepararla"
4126273443,08/06/2015 22:25:56,08/06/2015 22:26:28,"Sí, algunos",Carbohidratos,,,,,,,,,,,,,,,,,,,,,,,
4126250785,08/06/2015 22:11:33,08/06/2015 22:11:54,"Sí, la mayoria",Carbohidratos,,,,,,,,,,,,,,,,,,,,,,,
4126248597,08/06/2015 22:09:41,08/06/2015 22:14:01,"Sí, la mayoria",Carbohidratos,Ocasionalmente,Generalmente,1 vez al dia,2 veces al dia,Regulamente consumo,Nada,Raras veces,Muy poco,Nada,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Nada,"Barata, pero consume mucho tiempo prepararla"
4126226587,08/06/2015 21:56:06,08/06/2015 22:23:39,"Sí, todos",Carbohidratos,Generalmente,Generalmente,3 veces al dia,2 veces al dia,Regulamente consumo,Raras veces,Lo que más consumo,Nada,Nada,Muy poco,Regulamente consumo,Nada,Regulamente consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Raras veces,Muy poco,Barata y es fácil de prerarar
4126226343,08/06/2015 21:55:35,08/06/2015 21:56:54,"Sí, todos",Hidratos de carbono (azucares),,,,,,,,,,,,,,,,,,,,,,,
4126218710,08/06/2015 21:50:05,08/06/2015 21:55:55,"Sí, algunos",Carbohidratos,Generalmente,Ocasionalmente,1 vez al dia,2 veces al dia,Regulamente consumo,Nada,Regulamente consumo,Muy poco,Nada,Muy poco,Regulamente consumo,Regulamente consumo,Raras veces,Muy poco,Regulamente consumo,Muy poco,Muy poco,Muy poco,Lo que más consumo,Muy poco,Muy poco,Nada,Cara y consume mucho tiempo prepararla
4126189011,08/06/2015 21:34:05,08/06/2015 21:36:00,"Sí, la mayoria",Carbohidratos,Generalmente,Generalmente,1 vez al dia,1 vez al dia,Regulamente consumo,Nada,Nada,Muy poco,Nada,Regulamente consumo,Lo que más consumo,Regulamente consumo,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Regulamente consumo,Raras veces,Muy poco,Lo que más consumo,Nada,"Barata, pero consume mucho tiempo prepararla"
4126184741,08/06/2015 21:31:19,08/06/2015 21:34:50,"Sí, algunos",Carbohidratos,Generalmente,Ocasionalmente,1 vez al dia,3 veces al dia,Regulamente consumo,Nada,Muy poco,Muy poco,Nada,Muy poco,Regulamente consumo,Regulamente consumo,Raras veces,Muy poco,Regulamente consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Muy poco,Lo que más consumo,Raras veces,Nada,"Barata, pero consume mucho tiempo prepararla"
4126183519,08/06/2015 21:30:22,08/06/2015 21:38:40,"Sí, todos",Carbohidratos,Generalmente,Generalmente,Más de 3 veces al dia,2 veces al dia,Lo que más consumo,Regulamente consumo,Raras veces,Nada,Nada,Lo que más consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Raras veces,Raras veces,Muy poco,Nada,Barata y es fácil de prerarar
4126170314,08/06/2015 21:23:19,08/06/2015 21:26:33,"Sí, la mayoria",Carbohidratos,Generalmente,Ocasionalmente,3 veces al dia,1 vez al dia,Nada,Raras veces,Regulamente consumo,Raras veces,Raras veces,Muy poco,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Raras veces,Nada,"Barata, pero consume mucho tiempo prepararla"
4126162085,08/06/2015 21:19:01,08/06/2015 21:21:58,"Sí, la mayoria",Hidratos de carbono (azucares),Generalmente,Ocasionalmente,1 vez al dia,1 vez al dia,Regulamente consumo,Nada,Lo que más consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Raras veces,Cara y consume mucho tiempo prepararla
4126161119,08/06/2015 21:18:36,08/06/2015 21:25:16,"Sí, la mayoria",Proteinas,Generalmente,Generalmente,Más de 3 veces al dia,1 vez al dia,Regulamente consumo,Raras veces,Lo que más consumo,Raras veces,Nada,Muy poco,Lo que más consumo,Raras veces,Raras veces,Raras veces,Lo que más consumo,Lo que más consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Nada,Cara y consume mucho tiempo prepararla
4126158951,08/06/2015 21:17:26,08/06/2015 21:19:37,"Sí, la mayoria",Hidratos de carbono (azucares),Ocasionalmente,Generalmente,Más de 3 veces al dia,1 vez al dia,Regulamente consumo,Lo que más consumo,Lo que más consumo,Raras veces,Nada,Regulamente consumo,Lo que más consumo,Regulamente consumo,Muy poco,Muy poco,Lo que más consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Nada,"Cara, pero no consume mucho tiempo prepararla"
4126158710,08/06/2015 21:17:00,08/06/2015 21:21:10,"Sí, la mayoria",Proteinas,Ocasionalmente,Ocasionalmente,2 veces al dia,3 veces al dia,Regulamente consumo,Raras veces,Raras veces,Regulamente consumo,Nada,Muy poco,Lo que más consumo,Muy poco,Raras veces,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Raras veces,Muy poco,Regulamente consumo,Muy poco,"Cara, pero no consume mucho tiempo prepararla"
4126150431,08/06/2015 21:12:33,08/06/2015 21:14:59,"Sí, la mayoria",Proteinas,Generalmente,Generalmente,2 veces al dia,1 vez al dia,Regulamente consumo,Muy poco,Regulamente consumo,Raras veces,Nada,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Raras veces,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Raras veces,Raras veces,Nada,No lo he considerado
4126148978,08/06/2015 21:11:39,08/06/2015 21:15:46,"Sí, la mayoria",Proteinas,Generalmente,Generalmente,1 vez al dia,1 vez al dia,Lo que más consumo,Nada,Lo que más consumo,Nada,Nada,Regulamente consumo,Regulamente consumo,Regulamente consumo,Raras veces,Raras veces,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Nada,Regulamente consumo,Muy poco,Nada,No lo he considerado
4126140619,08/06/2015 21:07:04,08/06/2015 21:10:22,"Sí, la mayoria",Carbohidratos,Pocas veces,Ocasionalmente,1 vez al dia,1 vez al dia,Lo que más consumo,Nada,Lo que más consumo,Raras veces,Nada,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Raras veces,Muy poco,Regulamente consumo,Muy poco,Muy poco,Nada,Raras veces,Nada,Nada,Cara y consume mucho tiempo prepararla
4126139462,08/06/2015 21:06:32,08/10/2015 01:33:49,"Sí, la mayoria",Proteinas,Generalmente,Generalmente,Más de 3 veces al dia,2 veces al dia,Regulamente consumo,Muy poco,Muy poco,Nada,Nada,Muy poco,Regulamente consumo,Raras veces,Muy poco,Regulamente consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Nada,Nada,Muy poco,Raras veces,"Cara, pero no consume mucho tiempo prepararla"
